feasible_reaction_smarts,not_trained_on_but_known,known_from_valid_set,known_from_test_set,num_products_works_with,example_works_with_reaction_id
[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:4]-[C:3]>>Cl-[CH2;D2;+0:1]-[C:2].[C:3]-[NH3+;D1:4],False,False,False,6,US20060229330A1
[#7;a:3]:[c:2](:[#7;a:4])-[CH2;D2;+0:1]-[N;H0;D3;+0:6](-[C:5])-[C:7]>>O=[CH;D2;+0:1]-[c:2](:[#7;a:3]):[#7;a:4].[C:5]-[NH;D2;+0:6]-[C:7],True,False,True,1,US08173650B2
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[O;H0;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[OH;D1;+0:4]-[c:5],True,True,True,6,US06159983
[#8:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],True,True,True,17,US06069156
[#8:3]-[C:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Br-[CH2;D2;+0:1]-[C:2]-[#8:3].[C:4]-[NH;D2;+0:5]-[C:6],True,True,False,1,US06359138B1
[#8:4]-[C:3](=[O;D1;H0:5])-[CH;D3;+0:1](-[C:2])-[O;H0;D2;+0:6]-[c:7]>>Br-[CH;D3;+0:1](-[C:2])-[C:3](-[#8:4])=[O;D1;H0:5].[OH;D1;+0:6]-[c:7],True,True,False,6,US20150018343A1
[C:1]-[CH2;D2;+0:2]-[NH2;D1;+0:3]>>[C:1]-[C;H0;D2;+0:2]#[N;H0;D1;+0:3],True,True,True,16,US06887889B2
[C:2]-[CH2;D2;+0:1]-[n;H0;D3;+0:4](:[c:3]):[c:5]>>Br-[CH2;D2;+0:1]-[C:2].[c:3]:[nH;D2;+0:4]:[c:5],True,True,True,11,US20080139631A1
[#7;a:3]:[c:2](-[NH2;D1;+0:1]):[c:4]:[#7;a:5]>>O=[N+;H0;D3:1](-[O-])-[c:2](:[#7;a:3]):[c:4]:[#7;a:5],True,True,False,3,US07132425B2
[#7;a:2]:[c:3]:[c:4]-[CH2;D2;+0:5]-[Br;H0;D1;+0:1]>>O=C1-C-C-C(=O)-N-1-[Br;H0;D1;+0:1].[#7;a:2]:[c:3]:[c:4]-[CH3;D1;+0:5],True,False,True,1,US05710139
[#7:4]-[C:5](=[O;D1;H0:6])-[N;H0;D3;+0:7](-[C:8])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7:4]-[C:5](=[O;D1;H0:6])-[NH;D2;+0:7]-[C:8],True,True,False,1,US20140213448A1
[c:2]-[CH;D2;+0:1]=[N;H0;D2;+0:3]-[c:4]>>O=[CH;D2;+0:1]-[c:2].[NH2;D1;+0:3]-[c:4],False,False,False,3,US04200648
[C:8]-[N;H0;D3;+0:9](-[C:10])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7]>>C-C(-C)(-C)-O-C(=O)-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7].[C:8]-[NH;D2;+0:9]-[C:10],True,True,True,21,US20150141400A1
[C;D1;H2:3]=[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[c:5]>>Br-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3].[OH;D1;+0:4]-[c:5],True,True,True,4,US06703392B2
[#16:2]-[N;H0;D3;+0:3](-[CH3;D1;+0:1])-[c:4]:[c:5]:[#7;a:6]>>I-[CH3;D1;+0:1].[#16:2]-[NH;D2;+0:3]-[c:4]:[c:5]:[#7;a:6],True,True,False,1,US20120238571A1
[C:4]-[O;H0;D2;+0:5]-[CH2;D2;+0:1]-[C:2]=[C:3]>>Br-[CH2;D2;+0:1]-[C:2]=[C:3].[C:4]-[OH;D1;+0:5],False,False,False,2,US20140135270A1
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[NH;D2;+0:5]-[C:4]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].[C:4]-[NH2;D1;+0:5],True,True,True,2,US20060069110A1
[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:3]-[c:4]>>O-[CH2;D2;+0:1]-[c:2].[NH2;D1;+0:3]-[c:4],False,False,False,1,US05925789
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],True,True,True,74,US20030083357A1
[#8:8]-[C:9](=[O;D1;H0:10])-[C:11]-[NH;D2;+0:12]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7]>>C-C(-C)(-C)-O-C(=O)-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7].[#8:8]-[C:9](=[O;D1;H0:10])-[C:11]-[NH2;D1;+0:12],True,True,False,6,US07045360B2
[#8:4]-[N;H0;D3;+0:5](-[C:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#8:4]-[NH;D2;+0:5]-[C:6],False,False,False,3,US20070225349A1
[C:4]-[N;H0;D3;+0:5](-[C:6]-[C:7]=[C:8])-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C-C(=O)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C:6]-[C:7]=[C:8],False,False,False,1,US05849801
[#7;a:5]:[c;H0;D3;+0:4](:[c:6]:[c:7]:[#7;a:8])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1](:[c:2]):[c:3])-O-C-1(-C)-C.Cl-[c;H0;D3;+0:4](:[#7;a:5]):[c:6]:[c:7]:[#7;a:8],True,False,True,1,US08362236B2
[NH2;D1;+0:1]-[#7:2]-[C:3]=[O;D1;H0:4]>>C-C(-C)(-C)-O-C(=O)-[NH;D2;+0:1]-[#7:2]-[C:3]=[O;D1;H0:4],True,True,True,2,US20110009619A1
[#8:4]-[C:3](=[O;D1;H0:5])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:7](-[C:6])-[c:8]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3](-[#8:4])=[O;D1;H0:5].[C:6]-[NH;D2;+0:7]-[c:8],True,False,True,1,US08809538B2
[#7:1]-[C:2](=[O;D1;H0:3])-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[c:6]>>[#7:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[CH;D2;+0:5]-[c:6],True,True,False,1,US05344845
[C:2]-[C;H0;D3;+0:1](-[C;D1;H3:3])=[N;H0;D2;+0:4]-[O;D1;H1:5]>>O=[C;H0;D3;+0:1](-[C:2])-[C;D1;H3:3].[NH2;D1;+0:4]-[O;D1;H1:5],True,False,True,1,US20070099901A1
[#7;a:1]:[c:2](:[c:3]:[#7;a:4])-[CH;D3;+0:5](-[C:6])-[OH;D1;+0:7]>>[#7;a:1]:[c:2](:[c:3]:[#7;a:4])-[C;H0;D3;+0:5](-[C:6])=[O;H0;D1;+0:7],False,False,False,1,US20140235643A1
[#7;a:3]:[c:4]:[n;H0;D3;+0:5](:[c:6])-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[#7;a:3]:[c:4]:[nH;D2;+0:5]:[c:6],True,True,True,3,US05733914
[#7;a:7]:[c:6]:[c;H0;D3;+0:4](:[c:5])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1](:[c:2]):[c:3])-O-C-1(-C)-C.I-[c;H0;D3;+0:4](:[c:5]):[c:6]:[#7;a:7],True,True,False,1,US20130090323A1
[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[N;H0;D3;+0:8](-[C:9])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#8:4]-[C:5](=[O;D1;H0:6])-[C:7]-[NH;D2;+0:8]-[C:9],True,False,True,1,US04743616
[C:1]-[CH;D3;+0:2](-[C;D1;H3:3])-[CH2;D2;+0:4]-[C:5]>>[C:1]\[C;H0;D3;+0:2](-[C;D1;H3:3])=[CH;D2;+0:4]/[C:5],False,False,False,1,US06255276B1
[C:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:5](-[c:6])-[C:4]=[O;D1;H0:3]>>Br-[CH2;D2;+0:1]-[C:2].[O;D1;H0:3]=[C:4]-[NH;D2;+0:5]-[c:6],True,True,True,3,US08263606B2
[C:2]-[CH;D3;+0:1](-[C:3])-[S;H0;D2;+0:4]-[c:5]>>Br-[CH;D3;+0:1](-[C:2])-[C:3].[SH;D1;+0:4]-[c:5],True,True,False,1,US06020531
[#8:4]-[C:5](=[O;D1;H0:6])-[N;H0;D3;+0:7](-[C:8])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#8:4]-[C:5](=[O;D1;H0:6])-[NH;D2;+0:7]-[C:8],True,False,True,1,US20080132482A1
[C:1]-[N;H0;D3;+0:2](-[C:3]-[C:4]=[O;D1;H0:5])-[C;H0;D3;+0:7](=[O;D1;H0:6])-[NH;D2;+0:8]-[c:9]>>[C:1]-[NH;D2;+0:2]-[C:3]-[C:4]=[O;D1;H0:5].[O;D1;H0:6]=[C;H0;D2;+0:7]=[N;H0;D2;+0:8]-[c:9],False,False,False,1,US04973598
[#8:2]-[C:3](=[O;D1;H0:4])-[C:5]-[N;H0;D3;+0:6](-[CH3;D1;+0:1])-[c:7]>>I-[CH3;D1;+0:1].[#8:2]-[C:3](=[O;D1;H0:4])-[C:5]-[NH;D2;+0:6]-[c:7],True,False,True,1,US06900244B2
[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:3]-[c:4]>>Br-[CH2;D2;+0:1]-[C:2].[NH2;D1;+0:3]-[c:4],True,True,True,8,US04348399
[#7;a:4]:[c:5](:[#7;a:6]:[#7;a:7])-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C-C(=O)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[#7;a:4]:[c:5](:[#7;a:6]:[#7;a:7])-[NH2;D1;+0:8],False,False,False,1,US05750545
[#8;a:5]:[c:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:7]-[C:6]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[c:4]:[#8;a:5].[C:6]-[NH2;D1;+0:7],True,False,True,1,US20060079548A1
[C:4]=[CH;D2;+0:5]/[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]=[CH2;D1;+0:5],True,True,False,3,US07998975B2
[#7;a:4]:[n;H0;D3;+0:5](:[c:6])-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3]>>Br-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3].[#7;a:4]:[nH;D2;+0:5]:[c:6],True,True,False,1,US20070225349A1
[#7;a:3]:[c:4]:[n;H0;D3;+0:5](:[#7;a:6])-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[#7;a:3]:[c:4]:[nH;D2;+0:5]:[#7;a:6],False,False,False,1,US20130190330A1
[#8:2]-[C:3](=[O;D1;H0:4])-[C:5]-[N;H0;D3;+0:6](-[CH3;D1;+0:1])-[C:7]=[O;D1;H0:8]>>I-[CH3;D1;+0:1].[#8:2]-[C:3](=[O;D1;H0:4])-[C:5]-[NH;D2;+0:6]-[C:7]=[O;D1;H0:8],True,True,False,2,US20090118284A1
[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[C;H0;D3;+0:5](=[C:6])-[C:7]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].C-C1(-C)-O-B(-[C;H0;D3;+0:5](=[C:6])-[C:7])-O-C-1(-C)-C,False,False,False,1,US20110189167A1
[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[NH;D2;+0:4]-[c:5]>>C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[NH2;D1;+0:4]-[c:5],True,True,False,3,US20150087646A1
[C:2]-[N;H0;D3;+0:3](-[CH3;D1;+0:1])-[C:4]=[O;D1;H0:5]>>I-[CH3;D1;+0:1].[C:2]-[NH;D2;+0:3]-[C:4]=[O;D1;H0:5],True,False,True,1,US06069145
[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1](:[c:2]):[c:3])-O-C-1(-C)-C.I-[c;H0;D3;+0:4](:[c:5]):[c:6],False,False,False,1,US20090012129A1
[#7;a:3]:[c:4]-[O;H0;D2;+0:5]-[CH2;D2;+0:1]-[c:2]>>Cl-[CH2;D2;+0:1]-[c:2].[#7;a:3]:[c:4]-[OH;D1;+0:5],True,True,False,1,US04908379
[OH;D1;+0:1]-[c:2]>>C-C(-C)(-C)-[Si](-C)(-C)-[O;H0;D2;+0:1]-[c:2],True,True,True,8,US06110937
[#8:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[C;D1;H3:3]>>Cl-[CH2;D2;+0:1]-[#8:2].[C;D1;H3:3]-[OH;D1;+0:4],False,False,False,1,US07772285B2
[C:4]-[N;H0;D3;+0:5](-[C:6])-[CH2;D2;+0:1]-[C:2]=[C:3]>>O=[CH;D2;+0:1]-[C:2]=[C:3].[C:4]-[NH;D2;+0:5]-[C:6],False,False,False,1,US20100234351A1
[#7;a:3]:[c:2]-[CH2;D2;+0:1]-[N;H0;D2;+0:5]=[#7;+:4]=[N;-;D1;H0:6]>>Cl-[CH2;D2;+0:1]-[c:2]:[#7;a:3].[N-;H0;D1:4]=[#7;+:5]=[N;-;D1;H0:6],False,False,False,1,US04588732
[C:4]-[O;H0;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>F-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[OH;D1;+0:5],True,True,True,24,US20150087639A1
[C;D1;H3:4]-[N;H0;D3;+0:5](-[C;D1;H3:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[C;D1;H3:4]-[NH;D2;+0:5]-[C;D1;H3:6],True,False,True,2,US20110224208A1
[#7;a:4]:[c:5](-[NH;D2;+0:6]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]):[c:7]:[#7;a:8]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#7;a:4]:[c:5](-[NH2;D1;+0:6]):[c:7]:[#7;a:8],True,False,True,1,US20100004222A1
[#16;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Br-[c;H0;D3;+0:1](:[#16;a:2]):[#7;a:3].[C:4]-[NH;D2;+0:5]-[C:6],True,True,False,3,US20090286974A1
[C:5]-[N;H0;D3;+0:6](-[C:7]=[O;D1;H0:8])-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[C:5]-[NH;D2;+0:6]-[C:7]=[O;D1;H0:8],True,True,False,1,US05164514
[#8;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[N;H0;D3;+0:6](-[C:5])-[C:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#8;a:4].[C:5]-[NH;D2;+0:6]-[C:7],True,False,True,1,US06395738B1
[C:4]-[N;H0;D3;+0:5](-[C:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[C:4]-[NH;D2;+0:5]-[C:6],False,False,False,1,US20110275797A1
[#7;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]-[NH;D2;+0:5]-[c:6]>>Cl-[CH2;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[NH2;D1;+0:5]-[c:6],True,False,True,1,US20130338134A1
[C:1]/[C:2]=[C:3]/[CH2;D2;+0:4]-[NH2;D1;+0:5]>>[C:1]/[C:2]=[C:3]/[C;H0;D2;+0:4]#[N;H0;D1;+0:5],True,True,False,1,US20060074086A1
[#7;a:4]:[c:5](:[#7;a:6])-[NH;D2;+0:7]-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[#7;a:4]:[c:5](:[#7;a:6])-[NH2;D1;+0:7],False,False,False,1,US20150284382A1
[#7;a:4]:[#7;a:3]:[c;H0;D3;+0:1](:[c:2])-[NH;D2;+0:6]-[N;D1;H2:5]>>Cl-[c;H0;D3;+0:1](:[c:2]):[#7;a:3]:[#7;a:4].[N;D1;H2:5]-[NH2;D1;+0:6],True,False,True,1,US20140349990A1
[#7:2]-[CH2;D2;+0:1]-[C;D1;H3:3]>>O=[C;H0;D3;+0:1](-[#7:2])-[C:3],False,False,False,1,US05861401
[C:3]=[C:4]/[C:5]-[N;H0;D3;+0:6](-[C:7])-[CH2;D2;+0:1]-[C:2]>>Br-[CH2;D2;+0:1]-[C:2].[C:3]=[C:4]/[C:5]-[NH;D2;+0:6]-[C:7],False,False,False,2,US04563464
[C:7]-[O;H0;D2;+0:8]-[c;H0;D3;+0:1](:[c:2]):[c:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3]-[C:4](=[O;D1;H0:5])-[O;D1;H1:6].[C:7]-[O-;H0;D1:8],False,False,False,1,US05344968
[#7;a:5]:[c:6]:[c:7]-[NH;D2;+0:8]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[#7;a:5]:[c:6]:[c:7]-[NH2;D1;+0:8],True,True,True,5,US07435815B2
[#8:4]-[C:5](=[O;D1;H0:6])-[c:7]:[n;H0;D3;+0:8](:[c:9])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[#8:4]-[C:5](=[O;D1;H0:6])-[c:7]:[nH;D2;+0:8]:[c:9],True,False,True,1,US07705023B2
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],True,True,False,1,US20090143367A1
[C:4]-[N;H0;D3;+0:5](-[C:6])-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C:6],True,True,True,7,US07595327B2
[#7;a:4]:[c:3](:[c:5]:[#7;a:6]):[c;H0;D3;+0:1](:[#7;a:2])-[NH;D2;+0:8]-[C:7]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[C:7]-[NH2;D1;+0:8],False,False,False,1,US07943609B2
[#7;a:4]:[c:5]:[c:6](:[#7;a:7])-[NH;D2;+0:8]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Br-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7;a:4]:[c:5]:[c:6](:[#7;a:7])-[NH2;D1;+0:8],False,False,False,2,US08329729B2
[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5],True,True,True,4,US08470828B2
[#7;a:4]:[c:3](:[c:5]:[#7;a:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:8]-[C:7]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#7;a:6].[C:7]-[NH2;D1;+0:8],True,True,True,8,US06429207B1
[C:3]=[C:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[c:5]>>I-[CH2;D2;+0:1]-[C:2]=[C:3].[OH;D1;+0:4]-[c:5],False,False,False,1,US20060009456A1
[c:2]-[CH2;D2;+0:1]-[O;H0;D2;+0:4]-[C:3]>>Cl-[CH2;D2;+0:1]-[c:2].[C:3]-[OH;D1;+0:4],False,False,False,3,US20020087002A1
[c:4]-[O;H0;D2;+0:3]-[CH2;D2;+0:1]-[c:2]>>Cl-[CH2;D2;+0:1]-[c:2].[OH;D1;+0:3]-[c:4],True,True,True,7,US20070060607A1
[#7;a:3]:[n;H0;D3;+0:4](:[c:5]:[#7;a:6])-[CH2;D2;+0:1]-[c:2]>>Br-[CH2;D2;+0:1]-[c:2].[#7;a:3]:[nH;D2;+0:4]:[c:5]:[#7;a:6],False,False,False,1,US20130190330A1
[C:5]-[NH;D2;+0:6]-[C;H0;D3;+0:1](=[O;D1;H0:2])/[C:3]=[C:4]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4].[C:5]-[NH2;D1;+0:6],True,False,True,6,US20140242606A1
[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[N;H0;D3;+0:5](-[c:4])-[c:6]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[c:4]-[NH;D2;+0:5]-[c:6],True,True,False,1,US20080249318A1
[#7;a:4]:[c:5]:[n;H0;D3;+0:6](:[c:7])-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3]>>Br-[CH2;D2;+0:1]-[C:2]=[C;D1;H2:3].[#7;a:4]:[c:5]:[nH;D2;+0:6]:[c:7],True,True,True,2,US05183492
[#7;a:3]:[c:2](-[CH2;D2;+0:1]-[N;H0;D3;+0:7](-[C:6])-[c:8]):[c:4]:[#7;a:5]>>O=[CH;D2;+0:1]-[c:2](:[#7;a:3]):[c:4]:[#7;a:5].[C:6]-[NH;D2;+0:7]-[c:8],False,False,False,1,US20020169313A1
[C;D1;H3:3]-[N;H0;D3;+0:4](-[C;D1;H3:5])-[CH2;D2;+0:1]-[C:2]>>Cl-[CH2;D2;+0:1]-[C:2].[C;D1;H3:3]-[NH;D2;+0:4]-[C;D1;H3:5],False,False,False,2,US08501780B2
[#8:1]-[CH;D3;+0:2](-[CH3;D1;+0:3])-[O;H0;D2;+0:5]-[C:4]>>[#8:1]-[CH;D2;+0:2]=[CH2;D1;+0:3].[C:4]-[OH;D1;+0:5],True,False,True,1,US20090181878A1
[#7:4]-[C:3]-[CH2;D2;+0:1]-[C:2]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3]-[#7:4],True,True,False,1,US06432975B1
[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[NH;D2;+0:5]-[N;D1;H2:4]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].[N;D1;H2:4]-[NH2;D1;+0:5],True,True,True,2,US20050222412A1
[#7;a:4]:[c:3]:[c:2]-[NH2;D1;+0:1]>>O=[N+;H0;D3:1](-[O-])-[c:2]:[c:3]:[#7;a:4],True,True,True,44,US20090253685A1
